Ens_ID	ActA_wt_96h_rep1	ActA_wt_96h_rep2	ActA_BADC_96h_rep1	ActA_BADC_96h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_BADC_120h_rep1	ActA_BADC_120h_rep2
ENSMUSG00000002329	1249	1547	1126	749	608	617	560	522
ENSMUSG00000002332	727	921	659	416	281	287	317	348
ENSMUSG00000002341	108	119	105	82	22	23	21	24
ENSMUSG00000002342	1035	1113	858	566	537	543	559	535
ENSMUSG00000002343	380	427	290	187	249	264	251	216
ENSMUSG00000002345	304	341	291	194	124	176	189	175
ENSMUSG00000002346	125	153	122	86	88	86	79	73
ENSMUSG00000002365	814	948	809	575	302	322	438	441
ENSMUSG00000002372	3105	3586	2886	1878	2000	2037	2389	2181
ENSMUSG00000002379	1771	1947	1716	1215	975	981	1006	930
ENSMUSG00000002384	8	10	6	3	0	1	1	1
ENSMUSG00000002393	1222	1266	1096	776	741	662	745	633
ENSMUSG00000002395	1061	1162	922	561	686	657	665	602
ENSMUSG00000002396	50	57	46	41	13	16	11	18
ENSMUSG00000002409	516	550	578	381	294	288	327	331
ENSMUSG00000002413	1332	1427	1300	872	878	799	1098	928
ENSMUSG00000002416	1629	1954	1523	1072	588	592	567	526
ENSMUSG00000002428	753	953	727	560	230	220	216	256
ENSMUSG00000002455	1651	1808	1258	946	586	609	836	793
ENSMUSG00000002458	776	850	521	346	312	314	329	307
ENSMUSG00000002459	30	25	43	19	24	11	16	26
ENSMUSG00000002475	52	50	22	26	9	6	4	2
ENSMUSG00000002477	3922	4819	3748	2267	1484	1513	1616	1574
ENSMUSG00000002486	409	389	340	233	275	282	288	311
ENSMUSG00000002489	898	960	746	584	432	453	610	553
ENSMUSG00000002496	2161	2481	1814	1368	1343	1348	1563	1374
