"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.75,0.8]","BADC","ZNF341/MA1655.2/Jaspar",0.787,"1e-3"
"(0.75,0.8]","wt","WUS1(Homeobox)/colamp-WUS1-DAP-Seq(GSE60143)/Homer",0.697,"1e-9"
"(0.75,0.8]","wt","egrh-1/MA2132.1/Jaspar",0.847,"1e-5"
"(0.75,0.8]","wt","AGL3/MA0001.3/Jaspar",0.608,"1e-5"
"(0.75,0.8]","wt","Zfp809/MA2125.1/Jaspar",0.776,"1e-4"
"(0.75,0.8]","wt","YAP1",NA,"1e-4"
"(0.75,0.8]","wt","MSANTD3/MA1523.2/Jaspar",0.73,"1e-3"
"(0.75,0.8]","wt","Sf3b4(RRM)/Danio_rerio-RNCMPT00224-PBM/HughesRNA",0.702,"1e-3"
"(0.75,0.8]","wt","PH0122.1_Obox2/Jaspar",0.799,"1e-3"
"(0.75,0.8]","wt","HNRNPK(KH)/Homo_sapiens-RNCMPT00026-PBM/HughesRNA",0.625,"1e-3"
"(0.75,0.8]","wt","ABF4/MA1659.2/Jaspar",0.742,"1e-3"
"(0.75,0.8]","wt","GCR2",NA,"1e-3"
"(0.75,0.8]","wt","CG11360(KH)/Drosophila_melanogaster-RNCMPT00129-PBM/HughesRNA",0.726,"1e-3"
"(0.75,0.8]","wt","STP4/MA0397.2/Jaspar",0.699,"1e-3"
"(0.75,0.8]","wt","PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer",0.68,"1e-3"
"(0.75,0.8]","wt","MET31/MA0333.2/Jaspar",0.696,"1e-3"
"(0.75,0.8]","wt","PB0200.1_Zfp187_2/Jaspar",0.782,"1e-3"
"(0.75,0.8]","wt","GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer",0.699,"1e-3"
"(0.75,0.8]","wt","Tup/dmmpmm(Noyes_hd)/fly",0.759,"1e-3"
"(0.75,0.8]","wt","MYB98/MA1392.3/Jaspar",0.735,"1e-3"
"(0.75,0.8]","wt","TFAP2C/MA0814.3/Jaspar",0.713,"1e-3"
"(0.75,0.8]","wt","JUB1/MA2017.2/Jaspar",0.698,"1e-3"
