"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Vkorc1",0.00474619641028675,0.932143099214356,0.507,0.36,1,"18","Vkorc1"
"Arhgap211",0.00475210528377732,1.03527152344243,0.358,0.231,1,"18","Arhgap21"
"Dab2ip4",0.00478402504642497,0.792349842183419,0.522,0.387,1,"18","Dab2ip"
"Sco21",0.00479947313835482,0.996874287695862,0.343,0.214,1,"18","Sco2"
"Utp41",0.00484280031312975,0.738742880026416,0.507,0.365,1,"18","Utp4"
"Rab10os",0.00485408989302857,1.30603974120294,0.269,0.161,1,"18","Rab10os"
"Rnf220",0.00489329536114353,0.67468358891058,0.612,0.469,1,"18","Rnf220"
"Smyd32",0.00516844853338531,1.13687807915467,0.254,0.142,1,"18","Smyd3"
"Cald15",0.00519490122159761,0.531724739081077,0.776,0.66,1,"18","Cald1"
"Tex153",0.00521351802078207,1.41865655381866,0.224,0.118,1,"18","Tex15"
"Gak",0.00521909822580766,1.09038317735985,0.313,0.189,1,"18","Gak"
"Pigf2",0.00522565657919862,1.09267228385497,0.493,0.373,1,"18","Pigf"
"Ccdc1863",0.00532355132107419,0.797683383438825,0.388,0.244,1,"18","Ccdc186"
"Kank2",0.00534598452262871,1.04371723458445,0.224,0.113,1,"18","Kank2"
"Snhg8",0.00534911809821384,0.62160217226814,0.761,0.756,1,"18","Snhg8"
"Fbxo34",0.00534978512888427,1.56273660810265,0.209,0.111,1,"18","Fbxo34"
"Yipf3",0.00537005302233569,1.36029277828666,0.373,0.25,1,"18","Yipf3"
"Commd81",0.00561220207348131,1.02114580249722,0.507,0.385,1,"18","Commd8"
"Prcp1",0.0056579988075107,1.42984103406011,0.209,0.106,1,"18","Prcp"
"Sh3d191",0.00566765873742833,1.03509593625149,0.239,0.128,1,"18","Sh3d19"
"Ubc1",0.0057228557237385,0.524881175856016,0.761,0.671,1,"18","Ubc"
"Zscan26",0.00572725552081212,1.16484878053551,0.254,0.142,1,"18","Zscan26"
"Arfgap1",0.00581308932872772,1.07485982849627,0.254,0.142,1,"18","Arfgap1"
"Pla2g1b3",0.00585974888256668,0.647164760182423,0.269,0.144,1,"18","Pla2g1b"
"Esco1",0.00586590533985135,1.40592855204777,0.269,0.158,1,"18","Esco1"
"Spryd7",0.00611036282831606,0.891068421859889,0.299,0.172,1,"18","Spryd7"
"Dbf4",0.00614823970660212,0.559723725553594,0.701,0.638,1,"18","Dbf4"
"Sart3",0.00618227940761445,0.651702433031781,0.507,0.393,1,"18","Sart3"
"8030462N17Rik",0.0061930250910017,1.19535945042643,0.239,0.134,1,"18","8030462N17Rik"
"Arl4c2",0.00626006732884924,0.651348815947717,0.448,0.297,1,"18","Arl4c"
"Bid2",0.00635422538642674,1.35258789994953,0.224,0.126,1,"18","Bid"
"Rps27rt",0.0063730784411597,0.521538200267486,0.716,0.668,1,"18","Rps27rt"
"Stk4",0.0063839544289508,1.18484491221911,0.403,0.281,1,"18","Stk4"
"Stam1",0.00639922391279156,1.22363009144134,0.299,0.191,1,"18","Stam"
"Pdcd6ip",0.00663863572923064,0.955360106418822,0.493,0.365,1,"18","Pdcd6ip"
"Bms1",0.00672812846971316,0.501981705519839,0.716,0.641,1,"18","Bms1"
"Zfyve212",0.00675414734423037,1.35164027878527,0.358,0.246,1,"18","Zfyve21"
"Chic13",0.00679472795078867,0.765986090134925,0.313,0.18,1,"18","Chic1"
"Junb1",0.00680787666562538,1.32265411439716,0.209,0.11,1,"18","Junb"
"Utp18",0.00682801030023614,0.559886394934221,0.657,0.541,1,"18","Utp18"
"Rrn31",0.00685688674303927,0.844955663986916,0.403,0.269,1,"18","Rrn3"
"Yif1b1",0.00688754703213264,0.657650929112286,0.642,0.558,1,"18","Yif1b"
"Hmga11",0.00689390249868284,0.887138722521111,0.403,0.287,1,"18","Hmga1"
"Kcnk14",0.00697509875822553,1.16775302967124,0.209,0.111,1,"18","Kcnk1"
"Lcmt2",0.00697628771525437,1.09457447407882,0.209,0.11,1,"18","Lcmt2"
"Kif3b",0.00705458533569563,1.5955853533185,0.209,0.114,1,"18","Kif3b"
"Dhx161",0.00707478667062238,1.12794962160816,0.388,0.266,1,"18","Dhx16"
"Rpl18-ps23",0.00707986285414892,0.751750861448121,0.463,0.335,1,"18","Rpl18-ps2"
"Akap8l",0.00717887253115764,0.894443309445009,0.418,0.298,1,"18","Akap8l"
"Rchy13",0.00731784630055951,1.10238914791974,0.343,0.216,1,"18","Rchy1"
"Arih21",0.00762220608033019,1.08118615416756,0.328,0.214,1,"18","Arih2"
"Cdt11",0.00782890918706006,0.745073583692607,0.537,0.426,1,"18","Cdt1"
"Nepro",0.00787303203490389,0.996582444344991,0.284,0.172,1,"18","Nepro"
"Wdr121",0.00787973815428002,0.514863166811513,0.701,0.627,1,"18","Wdr12"
"Mcee2",0.00821257184299379,0.706407303237859,0.478,0.349,1,"18","Mcee"
